brand,num_rows
Al Dente,11
Alaga,2
Alessi,6
Amore,1
Annarino,4
Annie Chns,2
Antoine's,1
Arlow,1
Aunt Jemima,15
B F,1
Barilla,50
Barilla Plus,6
Bellino,2
Bertolli,13
Bionature,1
Bisquick,4
Boves,6
Braswell,1
Brier Rabbit,2
Brother's,1
Bruce's,1
Buitoni,5
Candoni,3
Cara Nona,2
Cary's,4
Castelna,2
Cento,2
Chef Pizza,1
China Mandarin,2
Classico,25
Classique,1
Colavita,15
Cozy Cottage,2
Creamette,30
Cucina,1
Darielle,3
Dave's,4
DaVinci,35
Dececco,23
Defino,1
Dell Alpe,15
Dell Amore,3
Dreamfield,4
Edd Og,1
Eddie,2
Eden,1
Elena's,8
Emeril's,6
Enrico,2
Farm Style,1
Fastshake,3
Ferrara,6
Fifty 50,1
Golden Eagle,1
Gooch,1
Grandma Molases,2
Healthy Harvest,4
Hodgson Mills,14
Howard's,1
HSE,1
Hungry Jack,15
Hunt's,8
Joey's,1
Karo,15
Kedem,1
Kellogg,3
Knott's,1
Kraft,3
Krusteaz,3
La Moderna,1
La Russa,1
Log Cabin,13
Lucini,4
Lund Swede,1
Lyles,1
M C,1
M W Flapstax,1
Maggi Spaetzle,1
Maple Grove,9
Mayacmas,2
Michele's,3
Miller,2
Mlinotst,2
Mom's,4
Moonlite,1
Mother's,4
Mrs Butterworth,12
Mrs Weiss,4
Mueller,32
Newman's,11
No Yolks,7
Northwoods,10
Notta,2
Orzo,1
Osem Bissli,1
Patsy's,15
Pennant,8
Pennsylvania Dutch,1
Pine Mountain,2
Pioneer,2
Pomi,1
Prego,40
Private Label,71
Private Label Premium,43
Private Label Value,9
Quinoa,1
R&F,6
RAC,1
Ragu,47
Raos,11
Ronzoni,38
Roselli,3
RR,1
San Giorgio,35
San Marzano,1
Sand Mountain,2
Silver Palate,2
Sinatra's,2
Smuckers,6
Sobrab Bkstrp,1
Spring Tree,4
Sugar Buster,2
Tree of Life,2
Type 2 Shoppe,11
Type 2riso,1
Vermont Gold,1
Vincent's,1
Vita,1
Wacky Mac,2
Walnut Acres,1
White Lily,2
