var,type,label,n,NA.prc,mean,sd,se,md,trimmed,range,skew
code,numeric,code,1048575,0,6067646473.9695,3154183528.841993,3080258.821167301,5100002797,6135485446.563564,9888873406 (111112360-9999985766),0.12337489350094887
amount,numeric,amount,1048575,0,1.7804695229239682,5.966503199567823,0.005826666059147835,1.5,1.6266849811828181,5908.28 (-8.28-5900),927.7559254445041
units,numeric,units,1048575,0,1.1882192499344348,0.5466197000903303,5.338085554066381e-4,1,1.0641035880795509,99 (1-100),12.160971403362103
time,numeric,time,1048575,0,1543.1651384021172,383.3751015224185,0.37438992610353083,1601,1558.18207664917,2359 (0-2359),-0.6171030830117332
province,numeric,province,1048575,0,1.4413742460005263,0.4965513630084971,4.849136716665047e-4,1,1.4267178948598151,1 (1-2),0.23613213128207258
week,numeric,week,1048575,0,13.470714064325369,8.549682190615828,0.0083493029955198,12,13.230046455849031,27 (1-28),0.2977568868541753
customerId,numeric,customerId,1048575,0,200348.14702143395,124744.5979507187,121.82095452502291,190503,196139.90722420023,510026 (1-510027),0.2451391576614372
supermarket,numeric,supermarket,1048575,0,198.0430899077316,112.2828041813589,0.10965122824410767,200,199.02138375726162,384 (1-385),-0.06511208151012433
basket,numeric,basket,1048575,0,333349.1133156887,191774.11657114036,187.27950001585003,331847,333447.6674121224,665449 (1-665450),-0.003583483864764258
day,numeric,day,1048575,0,91.19342822401846,59.83773194352377,0.058435312965230364,83,89.52590715267463,194 (1-195),0.29771836775842764
voucher,numeric,voucher,1048575,0,0.023562453806356246,0.15168152991776715,1.4812656469343757e-4,0,0,1 (0-1),6.282089258781943
